ID,Name,Description,force,flavor
strong.ability,strong.ability,,strong,ability
strong.bouletic,strong.bouletic,,strong,bouletic
strong.circumstantial,strong.circumstantial,,strong,circumstantial
strong.deontic,strong.deontic,,strong,deontic
strong.epistemic,strong.epistemic,,strong,epistemic
strong.future,strong.future,,strong,future
strong.hortative,strong.hortative,,strong,hortative
strong.intentional,strong.intentional,,strong,intentional
strong.irealis,strong.irealis,,strong,irealis
strong.purposive,strong.purposive,,strong,purposive
strong.reportative,strong.reportative,,strong,reportative
strong.teleological,strong.teleological,,strong,teleological
strong.volitional,strong.volitional,,strong,volitional
weak.ability,weak.ability,,weak,ability
weak.bouletic,weak.bouletic,,weak,bouletic
weak.circumstantial,weak.circumstantial,,weak,circumstantial
weak.deontic,weak.deontic,,weak,deontic
weak.epistemic,weak.epistemic,,weak,epistemic
weak.future,weak.future,,weak,future
weak.intentional,weak.intentional,,weak,intentional
weak.irrealis,weak.irrealis,,weak,irrealis
weak.permissive,weak.permissive,,weak,permissive
weak.reportative,weak.reportative,,weak,reportative
weak.teleological,weak.teleological,,weak,teleological
weak.volitional,weak.volitional,,weak,volitional
weak necessity.deontic,weak necessity.deontic,,weak necessity,deontic
weak necessity.epistemic,weak necessity.epistemic,,weak necessity,epistemic
weak necessity.hortative,weak necessity.hortative,,weak necessity,hortative
weak necessity.intentional,weak necessity.intentional,,weak necessity,intentional
